Country Name,Country Code,Indicator Name,Indicator Code,Attribute,2012,2013,2014,2015,2016,2017,2018,2019,2020
Malaysia,548,"National Accounts, Total Domestic Demand, Real, Constant Prices, Percent Change",NTDD_R_PC_PP_PT,Value,11.07692159,6.354173328,4.978988869,5.46301204,5.437654485,5.606209774,5.58698353,5.071307897,4.951878827
Myanmar,518,"National Accounts, Total Domestic Demand, Real, Constant Prices, Percent Change",NTDD_R_PC_PP_PT,Value,7.523547823,8.259318078,7.736637124,8.312737281,8.49007474,8.270181633,7.975715414,7.686950889,7.578627665
Philippines,566,"National Accounts, Total Domestic Demand, Real, Constant Prices, Percent Change",NTDD_R_PC_PP_PT,Value,5.052039321,10.34678647,4.100083642,6.988095526,6.969069281,6.555149335,6.530145418,6.536110314,6.532963694
Singapore,576,"National Accounts, Total Domestic Demand, Real, Constant Prices, Percent Change",NTDD_R_PC_PP_PT,Value,6.920944032,2.788640747,0.251403332,7.406770314,3.739218664,3.794641141,3.784618243,3.623605204,3.850514646
Thailand,578,"National Accounts, Total Domestic Demand, Real, Constant Prices, Percent Change",NTDD_R_PC_PP_PT,Value,9.368547318,1.358717912,-2.647563635,4.521518285,4.12963398,3.928394539,3.912792059,3.867611549,3.774964686
Vietnam,582,"National Accounts, Total Domestic Demand, Real, Constant Prices, Percent Change",NTDD_R_PC_PP_PT,Value,4.250665046,5.3869145,3.930877848,6.756953822,3.657982273,7.648191303,8.184821172,6.848044242,6.504077686
Bhutan,514,"National Accounts, Total Domestic Demand, Real, Constant Prices, Percent Change",NTDD_R_PC_PP_PT,Value,8.493627554,5.19135803,9.95300671,8.63459605,8.983453875,9.332931874,12.35667853,8.793724568,7.655623738
Maldives,556,"National Accounts, Total Domestic Demand, Real, Constant Prices, Percent Change",NTDD_R_PC_PP_PT,Value,-4.190225535,-3.695946056,5.784079778,-1.442259614,6.629660224,4.138116394,3.972337162,4.331203228,4.505617236
Palau,565,"National Accounts, Total Domestic Demand, Real, Constant Prices, Percent Change",NTDD_R_PC_PP_PT,Value,-4.390443408,6.050964804,14.74475761,6.431793838,3.711711594,1.251196818,1.089547538,-0.220743462,0.230661554
Papua New Guinea,853,"National Accounts, Total Domestic Demand, Real, Constant Prices, Percent Change",NTDD_R_PC_PP_PT,Value,24.8406434,-11.22857994,-5.482983795,0.217857594,5.330421218,2.521684321,3.776851862,5.737340378,1.24149515
Solomon Islands,813,"National Accounts, Total Domestic Demand, Real, Constant Prices, Percent Change",NTDD_R_PC_PP_PT,Value,-6.498894195,12.32312361,0.791481884,8.038269341,6.937004561,-1.080055384,1.084999885,3.625561026,8.765975046
Tonga,866,"National Accounts, Total Domestic Demand, Real, Constant Prices, Percent Change",NTDD_R_PC_PP_PT,Value,-0.992599814,,,,,,,,
Vanuatu,846,"National Accounts, Total Domestic Demand, Real, Constant Prices, Percent Change",NTDD_R_PC_PP_PT,Value,-3.418769829,6.630552546,3.639954645,10.2504008,1.561507655,2.328845325,0.981948705,1.968429422,1.164041962
Mongolia,948,"National Accounts, Total Domestic Demand, Real, Constant Prices, Percent Change",NTDD_R_PC_PP_PT,Value,15.62066114,7.866079705,-10.00530927,9.585831728,12.33387804,4.776847494,5.49833336,2.811882785,0.580151757
Asia,229,"National Accounts, Gross Domestic Product in US Dollars, Constant Prices, in billions",NGDPD_USD,Value,2.25E+13,2.28E+13,2.37E+13,2.43E+13,2.58E+13,2.76E+13,2.95E+13,3.16E+13,3.40E+13
Australia,193,"National Accounts, Gross Domestic Product in US Dollars, Constant Prices, in billions",NGDPD_USD,Value,1.56E+12,1.50E+12,1.44E+12,1.25E+12,1.28E+12,1.32E+12,1.37E+12,1.43E+12,1.49E+12
Japan,158,"National Accounts, Gross Domestic Product in US Dollars, Constant Prices, in billions",NGDPD_USD,Value,5.95E+12,4.92E+12,4.62E+12,4.21E+12,4.35E+12,4.49E+12,4.59E+12,4.75E+12,4.93E+12
New Zealand,196,"National Accounts, Gross Domestic Product in US Dollars, Constant Prices, in billions",NGDPD_USD,Value,1.73E+11,1.85E+11,1.98E+11,1.92E+11,2.00E+11,2.09E+11,2.19E+11,2.29E+11,2.40E+11
"China, P.R.: Mainland",924,"National Accounts, Gross Domestic Product in US Dollars, Constant Prices, in billions",NGDPD_USD,Value,8.39E+12,9.47E+12,1.04E+13,1.12E+13,1.20E+13,1.29E+13,1.39E+13,1.50E+13,1.62E+13
"China, P.R.: Hong Kong",532,"National Accounts, Gross Domestic Product in US Dollars, Constant Prices, in billions",NGDPD_USD,Value,2.63E+11,2.75E+11,2.90E+11,3.10E+11,3.31E+11,3.55E+11,3.81E+11,4.09E+11,4.38E+11
"Korea, Republic of",542,"National Accounts, Gross Domestic Product in US Dollars, Constant Prices, in billions",NGDPD_USD,Value,1.22E+12,1.30E+12,1.42E+12,1.44E+12,1.51E+12,1.61E+12,1.73E+12,1.86E+12,2.01E+12
Taiwan Province of China,528,"National Accounts, Gross Domestic Product in US Dollars, Constant Prices, in billions",NGDPD_USD,Value,4.96E+11,5.11E+11,5.30E+11,5.28E+11,5.66E+11,6.12E+11,6.63E+11,7.17E+11,7.76E+11
South Asia,9502,"National Accounts, Gross Domestic Product in US Dollars, Constant Prices, in billions",NGDPD_USD,Value,2.29E+12,2.36E+12,2.58E+12,2.89E+12,3.14E+12,3.43E+12,3.75E+12,4.10E+12,4.49E+12
Bangladesh,513,"National Accounts, Gross Domestic Product in US Dollars, Constant Prices, in billions",NGDPD_USD,Value,1.42E+11,1.62E+11,1.85E+11,2.05E+11,2.24E+11,2.46E+11,2.70E+11,2.96E+11,3.22E+11
India,534,"National Accounts, Gross Domestic Product in US Dollars, Constant Prices, in billions",NGDPD_USD,Value,1.84E+12,1.88E+12,2.05E+12,2.31E+12,2.51E+12,2.76E+12,3.01E+12,3.31E+12,3.64E+12
Sri Lanka,524,"National Accounts, Gross Domestic Product in US Dollars, Constant Prices, in billions",NGDPD_USD,Value,59378245911,67451067319,74588255949,80591341037,87460543991,95474116334,1.04E+11,1.14E+11,1.24E+11
Nepal,558,"National Accounts, Gross Domestic Product in US Dollars, Constant Prices, in billions",NGDPD_USD,Value,18851508892,19243326512,19636666327,21687789243,23749404283,25416632061,27292100404,29101382413,31015746584
ASEAN,511,"National Accounts, Gross Domestic Product in US Dollars, Constant Prices, in billions",NGDPD_USD,Value,2.00E+12,2.06E+12,2.06E+12,2.12E+12,2.29E+12,2.49E+12,2.69E+12,2.92E+12,3.17E+12
Brunei Darussalam,516,"National Accounts, Gross Domestic Product in US Dollars, Constant Prices, in billions",NGDPD_USD,Value,16952471318,16109406218,15101854725,11236104423,12396841674,13417853854,14533359797,16610855493,17808040934
Cambodia,522,"National Accounts, Gross Domestic Product in US Dollars, Constant Prices, in billions",NGDPD_USD,Value,14056911735,15361800459,16550813247,17813554434,19391709908,21088208219,23031485670,25125764062,27417105409
Indonesia,536,"National Accounts, Gross Domestic Product in US Dollars, Constant Prices, in billions",NGDPD_USD,Value,9.19E+11,9.13E+11,8.89E+11,8.96E+11,9.52E+11,1.04E+12,1.12E+12,1.21E+12,1.31E+12
Lao People's Democratic Republic,544,"National Accounts, Gross Domestic Product in US Dollars, Constant Prices, in billions",NGDPD_USD,Value,9400267939,10788160662,11676491666,12764290444,13791846001,15001815254,16658464075,18023803464,19473726509
Malaysia,548,"National Accounts, Gross Domestic Product in US Dollars, Constant Prices, in billions",NGDPD_USD,Value,3.05E+11,3.13E+11,3.27E+11,3.28E+11,3.65E+11,3.99E+11,4.41E+11,4.87E+11,5.38E+11
Myanmar,518,"National Accounts, Gross Domestic Product in US Dollars, Constant Prices, in billions",NGDPD_USD,Value,55759036221,56758586182,62801848193,69143016398,77894191831,88832034286,1.01E+11,1.14E+11,1.28E+11
Philippines,566,"National Accounts, Gross Domestic Product in US Dollars, Constant Prices, in billions",NGDPD_USD,Value,2.50E+11,2.72E+11,2.85E+11,3.08E+11,3.40E+11,3.76E+11,4.17E+11,4.61E+11,5.10E+11
Singapore,576,"National Accounts, Gross Domestic Product in US Dollars, Constant Prices, in billions",NGDPD_USD,Value,2.90E+11,3.02E+11,3.08E+11,2.96E+11,3.11E+11,3.29E+11,3.48E+11,3.68E+11,3.90E+11
Thailand,578,"National Accounts, Gross Domestic Product in US Dollars, Constant Prices, in billions",NGDPD_USD,Value,3.66E+11,3.87E+11,3.74E+11,3.86E+11,4.12E+11,4.34E+11,4.58E+11,4.82E+11,5.04E+11
Vietnam,582,"National Accounts, Gross Domestic Product in US Dollars, Constant Prices, in billions",NGDPD_USD,Value,1.56E+11,1.71E+11,1.86E+11,2.04E+11,2.20E+11,2.39E+11,2.60E+11,2.84E+11,3.11E+11
Bhutan,514,"National Accounts, Gross Domestic Product in US Dollars, Constant Prices, in billions",NGDPD_USD,Value,1985924477,1985245267,2091661980,2246244340,2505852541,2794017755,3190702580,3522718523,3858581997
Fiji,819,"National Accounts, Gross Domestic Product in US Dollars, Constant Prices, in billions",NGDPD_USD,Value,3849836878,4033927846,4212089819,4413094052,4611380007,4815224588,5029780645,5255626918,5493376532
Kiribati,826,"National Accounts, Gross Domestic Product in US Dollars, Constant Prices, in billions",NGDPD_USD,Value,187940983.7,181086080.4,180679286.9,168206558.6,168184964.3,170569307,173934037.7,178081314.5,183882813.9
Maldives,556,"National Accounts, Gross Domestic Product in US Dollars, Constant Prices, in billions",NGDPD_USD,Value,2533689206,2699297633,2853528232,3031899912,3242822984,3516607247,3823096530,4163503628,4523166953
"Marshall Islands, Republic of",867,"National Accounts, Gross Domestic Product in US Dollars, Constant Prices, in billions",NGDPD_USD,Value,184358742.9,191275299.5,192534496.8,194992086.5,200722960,207958532.8,215175704.1,222209412.3,229449189.2
"Micronesia, Federated States of",868,"National Accounts, Gross Domestic Product in US Dollars, Constant Prices, in billions",NGDPD_USD,Value,325915956.2,314576551.5,314832322.1,315667193.7,318732175.9,327491213.3,334912095.3,344339350,354007311.8
Palau,565,"National Accounts, Gross Domestic Product in US Dollars, Constant Prices, in billions",NGDPD_USD,Value,232345891.4,245834031.9,269331663.2,277765136.1,290399561.1,303612741.1,316498065.8,329930243.7,343259425.6
Papua New Guinea,853,"National Accounts, Gross Domestic Product in US Dollars, Constant Prices, in billions",NGDPD_USD,Value,15391383914,15413237234,16060278468,20042480966,20674952117,21510918606,22518792034,23822033399,25264848750
Samoa,862,"National Accounts, Gross Domestic Product in US Dollars, Constant Prices, in billions",NGDPD_USD,Value,805608272.1,794132451.3,826484448,867744574.8,899195329.4,909749545.9,938421567.8,972874316.1,1013552329
Solomon Islands,813,"National Accounts, Gross Domestic Product in US Dollars, Constant Prices, in billions",NGDPD_USD,Value,1025166127,1059733103,1155207016,1205729815,1309385550,1408182562,1516362455,1639093284,1785100351
"Timor-Leste, Dem. Rep. of",537,"National Accounts, Gross Domestic Product in US Dollars, Constant Prices, in billions",NGDPD_USD,Value,5579000000,4967301005,4478048005,3956000000,3795000000,3758000000,3932000000,4021000000,3839553756
Tonga,866,"National Accounts, Gross Domestic Product in US Dollars, Constant Prices, in billions",NGDPD_USD,Value,453248260.5,442752814.6,453528897.9,476224371.5,498106990.5,518904266,543169648,567791456.7,580513951.5
Tuvalu,869,"National Accounts, Gross Domestic Product in US Dollars, Constant Prices, in billions",NGDPD_USD,Value,39896055.06,38441040.4,37608802.38,35306342.96,36374236.13,37348401.34,38448253,39502995.86,40305178.99
Vanuatu,846,"National Accounts, Gross Domestic Product in US Dollars, Constant Prices, in billions",NGDPD_USD,Value,781702874.1,801787555.9,811708319.9,745489447.9,799066880.7,858859181,917364668.4,970388346.3,1025700482
Mongolia,948,"National Accounts, Gross Domestic Product in US Dollars, Constant Prices, in billions",NGDPD_USD,Value,12292770631,12545217934,11981296758,12455254634,13096109087,13883758025,15060155366,16358626169,18057370891
Asia,229,"Prices, Consumer Price Index, All items, CPI (p.a.), percent change",PCPI_PC_PP_PT,Value,3.799113455,3.888683122,3.223758157,2.588521334,2.771806767,3.05503437,3.183801061,3.373098789,3.412104035
